combo                        window     trades        net$     PF   win%      maxDD$
------------------------------------------------------------------------------------
trend_AMD                    IS_build        0        0.00   0.00    0.0        0.00
trend_AMD                    OOS_build       0        0.00   0.00    0.0        0.00
trend_AMD                    holdout         0        0.00   0.00    0.0        0.00

trend_AUDUSD                 IS_build      100     -112.55   0.88   27.0      249.39
trend_AUDUSD                 OOS_build      74     -113.65   0.85   33.8      165.60
trend_AUDUSD                 holdout        34      -94.76   0.62   29.4      164.45

trend_INTC                   IS_build        0        0.00   0.00    0.0        0.00
trend_INTC                   OOS_build       0        0.00   0.00    0.0        0.00
trend_INTC                   holdout         0        0.00   0.00    0.0        0.00

trend_MSFT                   IS_build        0        0.00   0.00    0.0        0.00
trend_MSFT                   OOS_build       0        0.00   0.00    0.0        0.00
trend_MSFT                   holdout         0        0.00   0.00    0.0        0.00

trend_NVDA                   IS_build        0        0.00   0.00    0.0        0.00
trend_NVDA                   OOS_build       0        0.00   0.00    0.0        0.00
trend_NVDA                   holdout         0        0.00   0.00    0.0        0.00

trend_NZDUSD                 IS_build      109     -438.62   0.59   24.8      468.20
trend_NZDUSD                 OOS_build      77     -384.76   0.58   26.0      444.51
trend_NZDUSD                 holdout        33     -133.59   0.63   24.2      167.80

trend_USDCAD                 IS_build      120     -256.01   0.71   27.5      256.01
trend_USDCAD                 OOS_build      60      210.89   1.51   40.0      101.56
trend_USDCAD                 holdout        35      -46.69   0.81   34.3      156.59

trend_USDCHF                 IS_build      111     -245.69   0.82   31.5      467.91
trend_USDCHF                 OOS_build      79     -264.87   0.72   34.2      340.69
trend_USDCHF                 holdout        38      -51.05   0.85   26.3      162.02

trend_USDCNH                 IS_build       90     -105.64   0.71   26.7      158.99
trend_USDCNH                 OOS_build      21      -51.61   0.63   33.3       92.42
trend_USDCNH                 holdout        39      -81.38   0.46   17.9       88.97

trend_USDJPY                 IS_build      103      129.82   1.12   35.0      176.55
trend_USDJPY                 OOS_build      74     -172.75   0.72   28.4      221.31
trend_USDJPY                 holdout        36       43.83   1.16   33.3       83.66

trend_USDSEK                 IS_build        0        0.00   0.00    0.0        0.00
trend_USDSEK                 OOS_build       6       52.06   2.39   50.0       30.07
trend_USDSEK                 holdout         3      -54.17   0.00    0.0       54.17

trend_XAUUSD                 IS_build       90     2538.48   1.19   38.9     2372.28
trend_XAUUSD                 OOS_build      60     1026.76   1.13   36.7     2890.06
trend_XAUUSD                 holdout        30    -1012.91   0.73   30.0     1434.27

turtle_AMD                   IS_build        0        0.00   0.00    0.0        0.00
turtle_AMD                   OOS_build       0        0.00   0.00    0.0        0.00
turtle_AMD                   holdout         0        0.00   0.00    0.0        0.00

turtle_AUDUSD                IS_build      389     -400.90   0.66   22.4      441.67
turtle_AUDUSD                OOS_build     260     -241.54   0.72   27.7      241.54
turtle_AUDUSD                holdout       125      -35.20   0.87   29.6       95.85

turtle_INTC                  IS_build        0        0.00   0.00    0.0        0.00
turtle_INTC                  OOS_build       0        0.00   0.00    0.0        0.00
turtle_INTC                  holdout         0        0.00   0.00    0.0        0.00

turtle_MSFT                  IS_build        0        0.00   0.00    0.0        0.00
turtle_MSFT                  OOS_build       0        0.00   0.00    0.0        0.00
turtle_MSFT                  holdout         0        0.00   0.00    0.0        0.00

turtle_NVDA                  IS_build        0        0.00   0.00    0.0        0.00
turtle_NVDA                  OOS_build       0        0.00   0.00    0.0        0.00
turtle_NVDA                  holdout         0        0.00   0.00    0.0        0.00

turtle_NZDUSD                IS_build      385     -429.36   0.63   21.8      458.07
turtle_NZDUSD                OOS_build     260     -166.70   0.78   26.9      235.10
turtle_NZDUSD                holdout       121       21.95   1.08   34.7       53.82

turtle_USDCAD                IS_build      380       67.63   1.10   32.6       50.32
turtle_USDCAD                OOS_build     261     -137.58   0.71   26.8      151.13
turtle_USDCAD                holdout       126     -114.31   0.53   24.6      120.26

turtle_USDCHF                IS_build      388     -449.21   0.66   20.6      506.83
turtle_USDCHF                OOS_build     261     -294.11   0.61   24.5      294.11
turtle_USDCHF                holdout       122       31.02   1.09   27.0       61.70

turtle_USDCNH                IS_build      370     -346.34   0.47   18.4      352.79
turtle_USDCNH                OOS_build      71       33.19   1.26   35.2       27.83
turtle_USDCNH                holdout       123      -81.72   0.47   20.3       81.72

turtle_USDJPY                IS_build      389     -226.36   0.84   29.8      258.02
turtle_USDJPY                OOS_build     256      -12.65   0.98   32.4       89.37
turtle_USDJPY                holdout       118      -36.49   0.88   28.8       68.01

turtle_USDSEK                IS_build        0        0.00   0.00    0.0        0.00
turtle_USDSEK                OOS_build      21        2.57   1.03   38.1       42.35
turtle_USDSEK                holdout         5       44.75   5.63   40.0        7.80

turtle_XAUUSD                IS_build      234      327.78   1.04   29.9     2157.94
turtle_XAUUSD                OOS_build     128     1375.37   1.22   38.3     1195.02
turtle_XAUUSD                holdout        39    -1629.37   0.33   17.9     1674.91

====================================================================================
HOLDOUT SURVIVORS (edge persisted OOS + holdout):
  *** turtle_USDSEK: OOS net=2.57 PF=1.03 | HOLDOUT net=44.75 PF=5.63
