entry_index,entry_datetime,direction,entry_price,sl,tp,projected_rr,external_target,exit_kind,exit_datetime,exit_price,r_multiple,net
74452,2025-08-07 10:40:00,bear,3394.69000,3395.02780,3365.30000,87.0033,3365.30000,sl,2025-08-07 10:40:00,3395.02780,-1.0000,-100.00
75003,2025-08-01 12:15:00,bear,3294.69000,3302.10488,3268.17000,3.5766,3268.17000,sl,2025-08-01 13:50:00,3302.10488,-1.0000,-100.00
75206,2025-08-05 10:35:00,bear,3374.23000,3375.67605,3340.55000,23.2911,3340.55000,sl,2025-08-05 16:30:00,3375.67605,-1.0000,-100.00
75273,2025-08-06 09:55:00,bull,3375.16000,3369.25814,3390.38000,2.5789,3390.38000,sl,2025-08-06 10:20:00,3369.25814,-1.0000,-100.00
75274,2025-08-06 09:55:00,bull,3375.16000,3369.25814,3390.38000,2.5789,3390.38000,sl,2025-08-06 10:20:00,3369.25814,-1.0000,-100.00
75482,2025-08-08 15:40:00,bear,3398.95000,3406.85691,3371.68000,3.4489,3371.68000,tp,2025-08-11 04:05:00,3371.68000,3.4489,344.89
75630,2025-08-12 10:40:00,bear,3355.48000,3358.08940,3341.40000,5.3959,3341.40000,tp,2025-08-12 14:15:00,3341.40000,5.3959,539.59
75631,2025-08-12 10:40:00,bear,3355.48000,3358.08940,3341.40000,5.3959,3341.40000,tp,2025-08-12 14:15:00,3341.40000,5.3959,539.59
75888,2025-08-15 12:25:00,bear,3344.28000,3350.07996,3329.85000,2.4879,3329.85000,tp,2025-08-18 02:15:00,3329.85000,2.4879,248.79
76099,2025-08-19 15:20:00,bear,3337.88000,3346.64730,3323.62000,1.6265,3323.62000,tp,2025-08-19 17:45:00,3323.62000,1.6265,162.65
76305,2025-08-21 15:15:00,bear,3339.64000,3343.27061,3311.55000,7.7370,3311.55000,sl,2025-08-21 15:30:00,3343.27061,-1.0000,-100.00
76309,2025-08-21 15:15:00,bear,3339.64000,3343.27061,3311.55000,7.7370,3311.55000,sl,2025-08-21 15:30:00,3343.27061,-1.0000,-100.00
76467,2025-08-25 11:05:00,bull,3366.20000,3358.66542,3378.79000,1.6710,3378.79000,sl,2025-08-26 02:10:00,3358.66542,-1.0000,-100.00
76468,2025-08-25 13:05:00,bear,3367.62000,3370.89671,3321.44000,14.0934,3321.44000,sl,2025-08-25 14:45:00,3370.89671,-1.0000,-100.00
76557,2025-08-26 12:30:00,bear,3372.71000,3381.67266,3351.29000,2.3899,3351.29000,sl,2025-08-26 18:10:00,3381.67266,-1.0000,-100.00
76558,2025-08-26 12:30:00,bear,3372.71000,3381.67266,3351.29000,2.3899,3351.29000,sl,2025-08-26 18:10:00,3381.67266,-1.0000,-100.00
76630,2025-08-27 11:10:00,bear,3382.11000,3394.75357,3367.29000,1.1721,3367.29000,sl,2025-08-27 19:35:00,3394.75357,-1.0000,-100.00
76643,2025-08-27 13:35:00,bull,3376.71000,3372.43732,3393.49000,3.9273,3393.49000,tp,2025-08-27 19:30:00,3393.49000,3.9273,392.73
76669,2025-08-28 09:45:00,bear,3394.65000,3399.45811,3373.81000,4.3343,3373.81000,sl,2025-08-28 11:35:00,3399.45811,-1.0000,-100.00
76670,2025-08-28 09:45:00,bear,3394.65000,3399.45811,3373.81000,4.3343,3373.81000,sl,2025-08-28 11:35:00,3399.45811,-1.0000,-100.00
76852,2025-08-29 14:55:00,bear,3410.69000,3413.81362,3384.60000,8.3525,3384.60000,sl,2025-08-29 15:40:00,3413.81362,-1.0000,-100.00
76865,2025-08-29 14:55:00,bear,3410.69000,3413.81362,3384.60000,8.3525,3384.60000,sl,2025-08-29 15:40:00,3413.81362,-1.0000,-100.00
77011,2025-09-02 10:55:00,bull,3476.85000,3465.24022,3508.69000,2.7425,3508.69000,tp,2025-09-02 17:40:00,3508.69000,2.7425,274.25
77014,2025-09-02 10:55:00,bull,3476.85000,3465.24022,3508.69000,2.7425,3508.69000,tp,2025-09-02 17:40:00,3508.69000,2.7425,274.25
77096,2025-09-04 13:10:00,bear,3545.23000,3564.04309,3511.45000,1.7956,3511.45000,timeout,2025-09-05 14:20:00,3550.15000,-0.2615,-26.15
77101,2025-09-04 13:10:00,bear,3545.23000,3564.04309,3511.45000,1.7956,3511.45000,timeout,2025-09-05 14:20:00,3550.15000,-0.2615,-26.15
