date,open,high,low,close
2016-08-31,304.0,307.25,301.0,301.5
2016-09-01,302.0,311.5,301.75,311.0
2016-09-02,311.0,317.75,311.0,316.5
2016-09-06,316.0,317.25,312.5,316.75
2016-09-07,316.25,322.0,315.0,321.0
2016-09-08,322.0,327.0,322.0,327.0
2016-09-09,326.5,330.5,323.75,330.0
2016-09-12,329.25,330.25,326.0,329.25
2016-09-13,329.25,330.0,319.25,319.25
2016-09-14,320.5,322.25,317.5,322.25
2016-09-15,331.5,334.75,327.5,330.0
2016-09-16,329.0,338.25,327.5,337.0
2016-09-19,337.25,340.0,332.25,337.25
2016-09-20,336.0,342.25,335.0,340.5
2016-09-21,339.0,341.0,338.0,340.0
2016-09-22,339.25,341.5,334.75,336.75
2016-09-23,336.0,338.5,333.75,336.5
2016-09-26,334.0,336.5,328.5,329.0
2016-09-27,329.25,332.5,327.25,331.75
2016-09-28,331.75,332.5,328.75,329.25
2016-09-29,329.75,333.5,328.0,329.25
2016-09-30,329.0,337.5,325.0,336.75
2016-10-03,336.25,347.75,335.25,346.0
2016-10-04,345.0,349.0,343.5,348.25
2016-10-05,347.75,349.25,345.25,347.75
2016-10-06,347.25,347.75,338.5,340.5
2016-10-07,340.75,344.75,339.5,339.75
2016-10-11,343.0,347.0,341.0,345.5
2016-10-12,345.0,348.5,336.5,337.0
2016-10-13,337.5,349.75,337.25,349.5
2016-10-14,349.5,358.75,348.75,354.25
2016-10-17,353.0,357.75,350.25,354.0
2016-10-18,354.25,357.5,351.5,353.75
2016-10-19,353.5,358.0,351.0,357.5
2016-10-20,357.5,359.25,349.25,351.0
2016-10-21,351.25,354.25,350.5,352.5
2016-10-24,351.5,354.5,346.25,348.25
2016-10-25,348.25,352.25,347.25,349.25
2016-10-26,349.25,355.75,349.0,354.0
2016-10-27,353.75,358.5,352.25,357.5
2016-10-28,357.5,358.25,354.25,355.0
2016-10-31,355.0,358.0,352.25,354.75
2016-11-01,354.75,354.75,347.25,349.0
2016-11-02,348.75,350.5,344.25,346.25
2016-11-03,346.25,348.75,345.0,348.0
2016-11-04,348.0,349.75,345.5,348.75
2016-11-07,348.0,349.5,345.0,346.25
2016-11-08,346.0,356.5,345.0,354.25
2016-11-09,353.0,355.0,340.5,340.75
2016-11-10,341.5,346.5,340.25,343.5
2016-11-14,340.5,341.0,335.5,337.25
2016-11-15,337.0,342.25,335.75,341.5
2016-11-16,341.5,343.5,338.5,338.5
2016-11-17,339.0,343.5,338.25,342.0
2016-11-18,342.0,346.75,340.5,345.5
2016-11-21,345.25,350.0,344.75,349.75
2016-11-22,349.5,351.75,346.0,351.0
2016-11-23,350.25,351.0,346.5,350.75
2016-11-25,349.75,350.75,348.5,349.25
2016-11-28,349.25,353.0,346.75,348.5
2016-11-29,348.0,348.25,335.5,336.75
2016-11-30,337.25,341.75,336.0,336.75
2016-12-01,337.0,338.25,331.0,331.75
2016-12-02,332.75,338.0,332.75,337.5
2016-12-05,337.5,350.0,337.5,349.5
2016-12-06,348.25,354.0,348.25,351.0
2016-12-07,350.25,351.0,347.25,350.5
2016-12-08,350.25,352.75,344.25,346.5
2016-12-09,349.0,352.5,344.5,352.5
2016-12-12,352.25,355.0,349.75,354.5
2016-12-13,355.25,359.0,353.5,356.25
2016-12-14,356.75,357.0,351.75,351.75
2016-12-15,361.5,363.0,356.25,356.5
2016-12-16,356.0,359.0,353.5,356.25
2016-12-19,356.0,356.75,351.5,353.25
2016-12-20,353.25,353.75,349.25,350.25
2016-12-21,350.0,351.25,346.75,347.25
2016-12-22,347.25,348.0,346.0,347.25
2016-12-23,347.0,347.75,345.5,345.75
2016-12-27,346.5,356.0,346.25,355.0
2016-12-28,354.25,354.75,347.25,348.25
2016-12-29,348.25,351.0,347.5,349.75
2016-12-30,349.5,353.0,347.75,352.0
2017-01-03,352.0,358.5,351.5,355.75
2017-01-04,355.0,360.0,354.75,359.75
2017-01-05,359.5,362.75,358.5,361.25
2017-01-06,360.75,362.5,356.75,358.0
2017-01-09,359.0,360.75,355.25,360.0
2017-01-10,359.25,359.5,357.25,358.25
2017-01-11,357.75,358.25,352.0,357.25
2017-01-12,357.0,360.0,353.0,358.25
2017-01-13,357.5,359.5,355.25,358.5
2017-01-17,359.0,366.5,358.5,365.5
2017-01-18,364.5,367.75,362.75,365.0
2017-01-19,364.0,367.5,362.75,366.25
2017-01-20,366.0,370.0,365.0,369.75
2017-01-23,369.5,370.0,367.5,369.5
2017-01-24,369.25,371.0,362.25,363.25
2017-01-25,363.25,366.75,361.0,366.25
2017-01-26,366.0,366.75,362.0,363.75
2017-01-27,363.25,364.25,360.5,362.5
2017-01-30,361.5,361.75,355.75,357.75
2017-01-31,358.5,361.25,357.75,359.75
2017-02-01,360.0,368.5,358.0,368.25
2017-02-02,367.5,369.75,366.25,367.5
2017-02-03,365.75,367.75,364.0,365.25
2017-02-06,364.0,368.75,362.5,363.75
2017-02-07,363.75,369.0,362.5,368.5
2017-02-08,368.0,371.0,366.5,370.75
2017-02-09,369.5,372.75,367.5,369.5
2017-02-10,368.5,375.5,368.5,374.5
2017-02-13,373.5,376.75,371.75,375.5
2017-02-14,375.0,375.25,373.0,374.25
2017-02-15,374.0,379.0,371.75,378.75
