date,spot_close,perp_close
2020-01-01,130.77,130.62
2020-01-02,127.19,127.11
2020-01-03,134.35,134.29
2020-01-04,134.2,134.14
2020-01-05,135.37,135.33
2020-01-06,144.15,144.04
2020-01-07,142.8,142.86
2020-01-08,140.72,140.75
2020-01-09,137.74,137.73
2020-01-10,144.84,144.8
2020-01-11,142.38,142.4
2020-01-12,146.54,146.57
2020-01-13,143.58,143.58
2020-01-14,165.64,165.77
2020-01-15,166.4,166.6
2020-01-16,164.21,164.37
2020-01-17,169.85,170.06
2020-01-18,174.14,174.43
2020-01-19,166.79,167.04
2020-01-20,166.87,167.03
2020-01-21,169.49,169.52
2020-01-22,168.07,168.19
2020-01-23,162.81,162.97
2020-01-24,162.54,162.63
2020-01-25,160.35,160.52
2020-01-26,167.86,167.9
2020-01-27,170.08,170.21
2020-01-28,175.64,175.88
2020-01-29,173.72,173.8
2020-01-30,184.69,185.14
2020-01-31,179.99,180.14
2020-02-01,183.6,183.82
2020-02-02,188.44,188.59
2020-02-03,189.69,189.92
2020-02-04,188.91,189.01
2020-02-05,203.78,204.1
2020-02-06,213.19,213.27
2020-02-07,223.33,223.57
2020-02-08,223.05,223.57
2020-02-09,228.49,228.64
2020-02-10,222.89,223.03
2020-02-11,236.69,237.16
2020-02-12,265.74,266.24
2020-02-13,268.32,268.48
2020-02-14,285.15,285.4
2020-02-15,264.88,265.08
2020-02-16,258.85,258.87
2020-02-17,267.85,268.0
2020-02-18,282.61,282.96
2020-02-19,258.45,258.43
2020-02-20,256.96,257.11
2020-02-21,265.27,265.44
2020-02-22,261.57,261.83
2020-02-23,274.48,274.67
2020-02-24,265.52,265.7
2020-02-25,246.67,247.03
2020-02-26,223.93,224.1
2020-02-27,227.79,227.92
2020-02-28,226.76,227.09
2020-02-29,217.21,217.31
2020-03-01,217.81,218.01
2020-03-02,231.97,232.22
2020-03-03,223.91,224.1
2020-03-04,224.26,224.47
2020-03-05,228.38,228.64
2020-03-06,244.88,244.94
2020-03-07,237.23,237.34
2020-03-08,199.43,199.54
2020-03-09,202.81,203.02
2020-03-10,200.7,200.95
2020-03-11,194.61,194.81
2020-03-12,107.82,106.71
2020-03-13,134.06,134.13
2020-03-14,122.54,122.55
2020-03-15,123.78,123.89
2020-03-16,111.02,111.06
2020-03-17,115.67,115.68
2020-03-18,118.11,118.16
2020-03-19,136.3,136.42
2020-03-20,133.48,133.52
2020-03-21,132.66,132.67
2020-03-22,122.32,122.25
2020-03-23,135.92,135.96
2020-03-24,138.42,138.38
2020-03-25,136.1,136.1
2020-03-26,138.4,138.41
2020-03-27,131.33,131.27
2020-03-28,130.98,130.95
2020-03-29,124.5,124.4
2020-03-30,132.06,132.04
2020-03-31,132.72,132.61
2020-04-01,135.69,135.6
2020-04-02,141.28,141.3
2020-04-03,141.31,141.23
2020-04-04,144.1,144.02
2020-04-05,142.68,142.59
