exp,cp,strike,gamma,oi
2026-09-18,C,4000.0,0.0,1.0
2026-09-18,P,4000.0,0.0,35.0
2026-09-18,C,5000.0,0.0,0.0
2026-09-18,P,5000.0,0.0,12.0
2026-09-18,C,6000.0,0.0,0.0
2026-09-18,P,6000.0,0.0,34.0
2026-09-18,C,7000.0,0.0,0.0
2026-09-18,P,7000.0,0.0,12.0
2026-09-18,C,8000.0,0.0,0.0
2026-09-18,P,8000.0,0.0,1.0
2026-09-18,C,9000.0,0.0,0.0
2026-09-18,P,9000.0,0.0,6.0
2026-09-18,C,10000.0,0.0,0.0
2026-09-18,P,10000.0,0.0,12.0
2026-09-18,C,11000.0,0.0,0.0
2026-09-18,P,11000.0,0.0,8.0
2026-09-18,C,12000.0,0.0,0.0
2026-09-18,P,12000.0,0.0,34.0
2026-09-18,C,13000.0,0.0,20.0
2026-09-18,P,13000.0,0.0,8.0
2026-09-18,C,14000.0,0.0,25.0
2026-09-18,P,14000.0,0.0,22.0
2026-09-18,C,15000.0,0.0,23.0
2026-09-18,P,15000.0,0.0,63.0
2026-09-18,C,15500.0,0.0,0.0
2026-09-18,P,15500.0,0.0,13.0
2026-09-18,C,16000.0,0.0,0.0
2026-09-18,P,16000.0,0.0,31.0
2026-09-18,C,16500.0,0.0,0.0
2026-09-18,P,16500.0,0.0,9.0
2026-09-18,C,17000.0,0.0,1.0
2026-09-18,P,17000.0,0.0,102.0
2026-09-18,C,17500.0,0.0,0.0
2026-09-18,P,17500.0,0.0,27.0
2026-09-18,C,18000.0,0.0,0.0
2026-09-18,P,18000.0,0.0,30.0
2026-09-18,C,18500.0,0.0,0.0
2026-09-18,P,18500.0,0.0,38.0
2026-09-18,C,19000.0,0.0,1.0
2026-09-18,P,19000.0,0.0,193.0
2026-09-18,C,19500.0,0.0,0.0
2026-09-18,P,19500.0,0.0,36.0
2026-09-18,C,20000.0,0.0,0.0
2026-09-18,P,20000.0,0.0,145.0
2026-09-18,C,20400.0,0.0,0.0
2026-09-18,P,20400.0,0.0,67.0
2026-09-18,C,20500.0,0.0,0.0
2026-09-18,P,20500.0,0.0,37.0
2026-09-18,C,20600.0,0.0,0.0
2026-09-18,P,20600.0,0.0,24.0
2026-09-18,C,20700.0,0.0,0.0
2026-09-18,P,20700.0,0.0,27.0
2026-09-18,C,20800.0,0.0,0.0
2026-09-18,P,20800.0,0.0,20.0
2026-09-18,C,20900.0,0.0,0.0
2026-09-18,P,20900.0,0.0,1.0
2026-09-18,C,21000.0,0.0,0.0
2026-09-18,P,21000.0,0.0,97.0
2026-09-18,C,21100.0,0.0,0.0
2026-09-18,P,21100.0,0.0,2.0
2026-09-18,C,21200.0,0.0,0.0
2026-09-18,P,21200.0,0.0,19.0
2026-09-18,C,21300.0,0.0,0.0
2026-09-18,P,21300.0,0.0,2.0
2026-09-18,C,21400.0,0.0,0.0
2026-09-18,P,21400.0,0.0,32.0
2026-09-18,C,21500.0,0.0,0.0
2026-09-18,P,21500.0,0.0,28.0
2026-09-18,C,21600.0,0.0,0.0
2026-09-18,P,21600.0,0.0,24.0
2026-09-18,C,21700.0,0.0,0.0
2026-09-18,P,21700.0,0.0,39.0
2026-09-18,C,21800.0,0.0,1.0
2026-09-18,P,21800.0,0.0,11.0
2026-09-18,C,21900.0,0.0,0.0
2026-09-18,P,21900.0,0.0,14.0
2026-09-18,C,22000.0,0.0,0.0
2026-09-18,P,22000.0,0.0,410.0
2026-09-18,C,22100.0,0.0,0.0
2026-09-18,P,22100.0,0.0,11.0
2026-09-18,C,22200.0,0.0,0.0
2026-09-18,P,22200.0,0.0,26.0
2026-09-18,C,22300.0,0.0,0.0
2026-09-18,P,22300.0,0.0,3.0
2026-09-18,C,22400.0,0.0,0.0
2026-09-18,P,22400.0,0.0,18.0
2026-09-18,C,22500.0,0.0,1.0
2026-09-18,P,22500.0,0.0,212.0
2026-09-18,C,22600.0,0.0,0.0
2026-09-18,P,22600.0,0.0,37.0
2026-09-18,C,22700.0,0.0,0.0
2026-09-18,P,22700.0,0.0,5.0
2026-09-18,C,22800.0,0.0,0.0
2026-09-18,P,22800.0,0.0,26.0
2026-09-18,C,22900.0,0.0,1.0
2026-09-18,P,22900.0,0.0,15.0
2026-09-18,C,23000.0,0.0,4.0
2026-09-18,P,23000.0,0.0,204.0
2026-09-18,C,23100.0,0.0,4.0
2026-09-18,P,23100.0,0.0,10.0
2026-09-18,C,23200.0,0.0,4.0
2026-09-18,P,23200.0,0.0,45.0
2026-09-18,C,23300.0,0.0,2.0
2026-09-18,P,23300.0,0.0,7.0
2026-09-18,C,23400.0,0.0,20.0
2026-09-18,P,23400.0,0.0,45.0
2026-09-18,C,23500.0,0.0,6.0
2026-09-18,P,23500.0,0.0,270.0
2026-09-18,C,23600.0,0.0,3.0
2026-09-18,P,23600.0,0.0,159.0
2026-09-18,C,23800.0,0.0,0.0
2026-09-18,P,23800.0,0.0,80.0
