magic,dir,entry_time,entry_price,exit_time,exit_price,profit,volume,hold_sec,mae,mfe
20260716,buy,2025.09.02 16:45,3489.80,2025.09.02 19:33,3526.30,73.00,0.02,10120,13.56,73.44
20260716,buy,2025.09.03 03:00,3529.97,2025.09.03 03:24,3542.70,25.46,0.02,1480,3.76,29.72
20260716,buy,2025.09.03 09:45,3537.04,2025.09.03 10:18,3530.56,-12.96,0.02,2020,13.18,0.42
20260930,buy,2025.09.02 01:05,3476.56,2025.09.04 06:14,3513.02,35.95,0.01,191340,6.22,101.90
20260716,buy,2025.09.08 04:00,3594.39,2025.09.08 04:10,3586.56,-15.66,0.02,640,16.76,5.36
20260716,buy,2025.09.09 03:00,3635.18,2025.09.09 05:09,3652.36,34.36,0.02,7780,3.34,36.36
20260716,buy,2025.09.09 11:45,3650.46,2025.09.09 17:07,3650.46,0.00,0.02,19360,13.12,47.32
20260716,buy,2025.09.10 02:15,3639.19,2025.09.10 03:06,3630.00,-18.38,0.02,3100,18.92,3.16
20260716,buy,2025.09.12 10:15,3652.55,2025.09.12 11:10,3647.75,-9.60,0.02,3340,11.68,1.16
20260716,buy,2025.09.12 13:30,3650.87,2025.09.12 15:04,3645.56,-10.62,0.02,5680,11.26,2.54
20260716,buy,2025.09.16 03:15,3679.60,2025.09.16 04:10,3679.60,0.00,0.02,3320,0.94,19.60
20260716,buy,2025.09.16 05:15,3681.95,2025.09.16 05:39,3676.63,-10.64,0.02,1460,11.14,0.56
20260716,buy,2025.09.16 14:45,3696.43,2025.09.16 15:30,3689.99,-12.88,0.02,2740,17.38,6.10
20260930,buy,2025.09.04 08:00,3533.23,2025.09.17 21:52,3646.82,112.17,0.01,1173160,8.64,174.19
20260716,buy,2025.09.22 16:00,3721.73,2025.09.23 03:38,3749.24,54.77,0.02,41920,9.74,55.26
20260716,buy,2025.09.23 18:15,3779.20,2025.09.23 19:35,3769.84,-18.72,0.02,4840,18.88,5.56
20260930,buy,2025.09.18 12:00,3665.63,2025.09.24 21:26,3726.89,60.74,0.01,552380,37.85,125.55
20260716,buy,2025.09.29 05:00,3778.67,2025.09.29 08:05,3810.70,64.06,0.02,11140,2.06,66.88
20260716,buy,2025.09.29 11:15,3816.07,2025.09.30 06:13,3853.06,73.73,0.02,68320,18.96,77.56
20260930,buy,2025.09.25 04:00,3749.13,2025.09.30 12:12,3800.41,50.89,0.01,461560,27.16,122.53
20260716,buy,2025.09.30 16:45,3825.26,2025.10.01 05:04,3870.80,90.83,0.02,44380,9.84,91.94
20260716,buy,2025.10.01 22:45,3869.28,2025.10.02 01:02,3862.75,-13.82,0.02,8260,17.86,3.16
20260716,buy,2025.10.06 01:15,3890.73,2025.10.06 02:03,3912.25,43.04,0.02,2920,5.22,44.92
20260716,buy,2025.10.08 12:45,4040.31,2025.10.08 16:36,4029.81,-21.00,0.02,13900,27.16,18.60
20260930,buy,2025.09.30 16:00,3819.55,2025.10.09 19:41,3981.12,160.16,0.01,790900,8.11,239.70
20260716,buy,2025.10.13 15:30,4084.10,2025.10.14 02:33,4120.13,71.81,0.02,39820,17.30,75.20
20260716,buy,2025.10.14 11:15,4141.12,2025.10.14 15:32,4115.88,-50.48,0.02,15460,59.48,7.76
20260716,buy,2025.10.14 16:45,4127.46,2025.10.15 10:31,4201.01,146.85,0.02,64000,27.10,147.48
20260716,buy,2025.10.15 17:15,4208.69,2025.10.15 18:35,4185.36,-46.66,0.02,4840,47.68,6.12
