magic,dir,entry_time,entry_price,exit_time,exit_price,profit,volume,hold_sec,mae,mfe
20260716,buy,2025.10.01 17:45,3877.10,2025.10.01 17:47,3867.64,-28.38,0.03,154,45.39,3.21
20260930,buy,2025.10.01 04:00,3860.53,2025.10.02 18:38,3819.28,-41.63,0.01,139107,41.25,36.29
20260716,buy,2025.10.07 06:15,3967.82,2025.10.07 06:26,3961.56,-18.78,0.03,700,21.21,5.88
20260930,buy,2025.10.03 12:00,3864.81,2025.10.09 19:41,3980.29,114.71,0.01,546089,9.98,194.44
20260716,buy,2025.10.13 03:30,4040.57,2025.10.13 17:00,4096.49,167.76,0.03,48657,13.62,167.88
20260716,buy,2025.10.14 11:15,4141.14,2025.10.14 15:32,4115.05,-78.27,0.03,15423,89.28,11.58
20260716,buy,2025.10.14 18:15,4141.42,2025.10.15 09:45,4194.44,158.68,0.03,55810,40.20,159.36
20260716,buy,2025.10.15 13:15,4199.28,2025.10.15 15:16,4187.70,-34.74,0.03,7272,45.33,21.15
20260716,buy,2025.10.15 19:30,4197.26,2025.10.15 20:14,4184.14,-39.36,0.03,2640,41.79,7.20
20260716,buy,2025.10.15 21:00,4197.96,2025.10.16 05:57,4238.63,120.88,0.03,32236,8.16,123.66
20260716,buy,2025.10.17 05:45,4339.85,2025.10.17 10:20,4339.85,0.00,0.03,16505,90.81,115.98
20260930,buy,2025.10.10 12:00,3992.29,2025.10.17 17:03,4248.42,255.23,0.01,622999,21.56,386.89
20260930,buy,2025.10.20 08:00,4266.07,2025.10.21 16:48,4180.49,-85.71,0.01,118089,91.65,115.46
20260716,sell,2025.10.22 02:15,4116.99,2025.10.22 03:02,4069.43,142.68,0.03,2838,32.37,183.87
20260716,sell,2025.10.22 11:00,4132.52,2025.10.22 11:15,4076.53,167.97,0.03,912,9.96,217.65
20260930,buy,2025.10.23 20:00,4132.88,2025.10.27 10:55,4024.99,-108.15,0.01,312918,108.76,11.26
20260716,sell,2025.10.27 20:45,4003.61,2025.10.28 01:32,4003.65,-0.26,0.03,17221,13.92,73.44
20260716,sell,2025.10.28 04:30,4000.71,2025.10.28 08:11,3954.52,138.57,0.03,13291,3.66,139.11
20260716,sell,2025.10.28 14:30,3921.39,2025.10.28 15:18,3932.46,-33.21,0.03,2936,32.55,47.43
20260716,sell,2025.10.31 21:00,3999.97,2025.11.03 02:15,3966.05,101.62,0.03,191717,19.92,105.81
20260716,sell,2025.11.04 19:15,3964.02,2025.11.04 20:38,3934.45,88.71,0.03,5024,3.63,89.82
20260716,buy,2025.11.11 11:00,4136.16,2025.11.11 16:32,4127.80,-25.08,0.03,19926,28.95,31.41
20260716,buy,2025.11.13 02:30,4193.09,2025.11.13 03:12,4193.04,-0.15,0.03,2561,5.25,48.27
20260716,buy,2025.11.13 09:00,4210.63,2025.11.13 10:15,4231.42,62.37,0.03,4532,6.51,68.73
20260930,buy,2025.11.10 20:00,4102.62,2025.11.14 13:54,4137.85,34.46,0.01,323688,5.46,142.77
20260716,sell,2025.11.14 20:15,4094.87,2025.11.17 01:07,4096.64,-5.45,0.03,190320,26.40,68.40
20260716,sell,2025.11.17 03:00,4083.01,2025.11.17 03:11,4094.26,-33.75,0.03,660,34.86,0.84
20260716,sell,2025.11.17 04:00,4091.11,2025.11.17 07:36,4051.39,119.16,0.03,12960,7.74,124.26
20260930,buy,2025.11.18 20:00,4071.58,2025.11.24 08:00,4046.30,-26.05,0.01,475200,48.97,60.88
20260716,buy,2025.11.25 13:15,4134.88,2025.11.25 14:44,4123.75,-33.39,0.03,5344,53.46,11.49
20260716,buy,2025.11.26 10:00,4157.51,2025.11.26 14:41,4157.39,-0.36,0.03,16905,7.65,47.82
20260716,buy,2025.11.26 17:45,4162.23,2025.11.27 03:22,4150.02,-37.76,0.03,34629,39.87,28.23
20260716,buy,2025.11.28 13:15,4172.06,2025.11.28 16:40,4206.92,104.58,0.03,12333,10.23,109.68
20260716,buy,2025.12.01 09:30,4240.88,2025.12.01 16:05,4240.13,-2.25,0.03,23757,8.25,71.25
20260930,buy,2025.11.25 04:00,4134.75,2025.12.02 11:36,4186.98,51.33,0.01,632179,25.74,129.88
20260930,buy,2025.12.02 16:00,4212.50,2025.12.02 17:58,4166.71,-45.79,0.01,7087,49.07,18.38
20260716,buy,2025.12.03 22:15,4211.43,2025.12.03 22:50,4206.15,-15.84,0.03,2153,15.84,0.15
