time,profit
2025.01.27 09:28,68.00
2025.02.03 04:39,10.99
2025.02.11 14:57,103.34
2025.02.14 17:33,-4.28
2025.02.25 17:30,21.30
2025.02.28 05:44,-44.65
2025.02.28 20:00,-19.36
2025.03.21 15:50,84.58
2025.04.03 14:01,80.26
2025.04.04 18:37,-57.31
2025.04.08 12:00,-23.98
2025.04.22 19:26,292.14
2025.04.23 16:49,-113.61
2025.05.01 03:47,-51.23
2025.05.08 09:14,95.63
2025.05.12 10:01,-85.36
2025.05.13 08:00,21.88
2025.05.27 14:21,-14.44
2025.05.29 02:14,-27.54
2025.06.06 17:16,56.62
2025.06.19 08:52,54.74
2025.06.24 08:42,-36.78
2025.06.24 20:00,-8.91
2025.07.15 18:32,-40.98
2025.07.23 19:01,60.08
2025.07.25 11:28,-40.41
2025.07.28 20:00,-33.54
2025.08.11 14:24,-27.96
2025.08.14 20:00,-23.01
2025.09.04 06:14,146.82
2025.09.17 21:52,112.17
2025.09.24 21:26,67.33
2025.09.30 12:12,62.81
2025.10.09 19:41,160.16
2025.10.17 17:03,278.80
2025.10.21 16:48,-24.47
2025.10.27 17:00,-135.30
2025.10.28 08:00,-40.06
2025.11.14 13:54,35.23
2025.11.24 08:00,-10.01
2025.12.02 11:36,52.16
2025.12.29 13:40,244.95
2025.12.29 17:21,-103.51
2026.01.16 17:34,208.52
2026.01.21 21:37,196.43
2026.01.29 17:16,506.59
2026.01.30 04:23,-211.77
2026.01.30 11:13,-161.57
2026.02.02 07:44,-200.44
2026.02.02 08:38,-147.48
2026.02.06 02:15,18.50
2026.02.12 18:16,164.45
2026.02.17 16:01,-82.49
2026.02.18 08:00,68.07
2026.03.03 11:25,250.06
2026.03.03 13:31,-197.13
2026.03.12 22:30,-99.73
2026.03.16 00:00,-61.40
2026.04.20 01:00,-80.17
2026.04.21 19:54,-62.42
2026.04.23 12:00,-8.33
2026.05.12 18:23,-96.18
2026.05.15 07:43,-65.77
2026.08.14 04:19,73.72
2026.08.19 01:00,-6.11
2026.08.28 17:05,218.60
2026.09.01 15:35,-123.18
2026.09.01 22:59,-29.27
