time,profit
2025.09.04 06:14,68.16
2025.09.17 21:52,112.17
2025.09.24 21:26,67.33
2025.09.30 12:12,62.81
2025.10.09 19:41,160.16
2025.10.17 17:03,278.80
2025.10.21 16:48,-24.47
2025.10.27 17:00,-135.30
2025.10.28 08:00,-40.06
2025.11.14 13:54,35.23
2025.11.24 08:00,-10.01
2025.12.02 11:36,52.16
2025.12.29 13:40,244.95
2025.12.29 17:21,-103.51
2026.01.16 17:34,208.52
2026.01.21 21:37,196.43
2026.01.29 17:16,506.59
2026.02.12 18:16,-112.10
2026.02.17 16:01,-82.49
2026.02.18 08:00,68.07
2026.03.03 11:25,250.06
2026.03.03 13:31,-197.13
2026.03.12 22:30,-99.73
2026.03.16 00:00,-61.40
2026.04.13 01:00,-159.12
2026.04.20 01:00,-25.01
2026.04.21 19:54,-62.42
2026.04.23 12:00,-8.33
2026.05.12 18:23,-71.43
2026.05.15 07:43,-65.77
2026.08.14 04:19,-13.75
2026.08.19 01:00,-6.11
2026.08.28 17:05,218.60
2026.09.01 15:35,-123.18
2026.09.01 22:59,-29.27
