============================================================
EDGE DIAGNOSTIC: FIX09 last 1yr $5k
overall: trades 291  net 8740  PF 1.37  exp/trade 30.04  win 24.7%
cost reference: $5/trade => edge must be WELL above $5 to survive
============================================================

== By session ==
bucket     trades        net     PF  exp/trade   win%
Asia          102       5059   1.58      49.60   26.5
London         56        286   1.07       5.10   21.4
LDN_NY         80      -2692   0.65     -33.65   17.5
NY_late        53       6087   2.74     114.86   35.8

== By hour (server time) ==
bucket     trades        net     PF  exp/trade   win%
01             23       1633   1.62      71.00   21.7
02             13        907   2.22      69.76   38.5
03             23       1030   1.57      44.78   34.8
04             16      -1382   0.16     -86.37    6.2
05              8       -362   0.54     -45.30   25.0
06              9        127   1.20      14.11   22.2
07             10       3106   8.22     310.64   40.0
08              9       -126   0.88     -14.03   33.3
09             11       -238   0.68     -21.67   18.2
10             16        893   2.21      55.84   25.0
11             15         77   1.07       5.15   20.0
12              5       -320   0.00     -64.06    0.0
13             12       -573   0.62     -47.73   16.7
14             17        565   1.51      33.22   29.4
15             26      -2132   0.15     -82.02    3.8
16             25       -551   0.78     -22.06   24.0
17             20       1770   2.86      88.49   35.0
18              9        997   2.60     110.80   33.3
19              8       2756   5.72     344.55   50.0
20              3        144   2.18      48.03   33.3
21              4       -518   0.42    -129.53   25.0
22              9        938   3.79     104.23   33.3

== By weekday ==
bucket     trades        net     PF  exp/trade   win%
Mon            54       5759   2.35     106.65   31.5
Tue            78        804   1.15      10.31   24.4
Wed            67       2628   1.54      39.23   29.9
Thu            46       -680   0.87     -14.77   19.6
Fri            46        228   1.06       4.96   15.2
