total trades: 291
date range: 2025.08.28 -> 2026.08.25

month      trades      net      cum_net
2025.08        3       81.00        81.00
2025.09       31     1301.81      1382.81
2025.10       24     3772.41      5155.22
2025.11       22      897.48      6052.70
2025.12       23     -661.34      5391.36
2026.01       19     4426.12      9817.48
2026.02       25     1753.50     11570.98
2026.03       21     -713.40     10857.58
2026.04       23     -405.22     10452.36
2026.05       21      476.23     10928.59
2026.06       23     1110.11     12038.70
2026.07       28    -1361.85     10676.85
2026.08       28    -1936.60      8740.25
