time,profit
2025.06.02 13:26,-39.87
2025.06.02 14:21,-60.66
2025.06.02 15:08,-32.49
2025.06.03 14:12,-31.59
2025.06.03 15:06,-42.66
2025.06.03 16:46,-62.91
2025.06.05 12:28,-80.08
2025.06.05 16:02,203.04
2025.06.05 16:36,-44.73
2025.06.06 07:19,194.17
2025.06.06 21:10,-128.43
2025.06.06 22:32,-28.44
2025.06.06 22:57,-39.78
2025.06.09 19:22,-36.72
2025.06.09 19:48,-28.17
2025.06.10 01:02,109.39
2025.06.11 21:04,75.51
2025.06.16 01:12,-57.47
2025.06.16 16:16,-53.73
2025.06.16 21:56,-102.51
2025.06.17 06:11,-28.94
2025.06.17 16:15,65.34
2025.06.17 20:15,61.92
2025.06.18 17:13,70.74
2025.06.18 20:58,60.48
2025.06.19 04:05,128.72
2025.06.20 15:32,-32.58
2025.06.23 18:54,-80.55
2025.06.24 01:02,210.46
2025.06.24 15:31,-32.13
2025.06.24 16:36,-92.61
2025.06.26 11:57,423.69
2025.06.26 13:58,-16.02
2025.06.26 20:21,111.69
2025.06.27 01:00,-34.25
2025.06.27 13:53,-70.65
2025.06.27 14:51,-70.11
2025.06.27 15:09,-60.84
2025.06.30 18:03,-28.98
2025.06.30 19:50,-30.51
2025.06.30 22:03,-45.09
2025.07.01 13:48,-30.33
2025.07.01 15:20,-49.86
2025.07.02 20:00,-33.57
2025.07.02 21:12,-29.61
2025.07.02 21:57,-14.22
2025.07.03 15:30,109.35
2025.07.07 04:15,-136.27
2025.07.07 15:46,78.66
2025.07.07 22:06,-20.70
2025.07.09 05:50,-92.21
2025.07.09 14:34,-26.19
2025.07.09 16:55,111.06
2025.07.09 21:56,-19.71
2025.07.11 17:42,-67.14
2025.07.14 01:01,-79.88
2025.07.14 15:27,118.44
2025.07.14 17:40,-78.03
2025.07.15 06:41,119.65
2025.07.15 15:17,122.13
2025.07.16 18:07,214.87
2025.07.17 09:26,272.54
2025.07.17 14:00,-24.57
2025.07.17 15:30,-57.96
2025.07.17 20:07,239.13
2025.07.18 14:38,-15.03
2025.07.18 15:03,-38.70
2025.07.18 15:41,-20.16
2025.07.21 14:09,-24.03
2025.07.21 16:45,-32.67
2025.07.21 17:25,-74.07
2025.07.22 17:27,-86.31
2025.07.22 19:10,-47.34
2025.07.22 19:51,-39.69
2025.07.23 18:55,-74.07
2025.07.24 06:05,-101.14
2025.07.24 15:00,-26.19
2025.07.24 15:30,-17.82
2025.07.25 11:19,-75.56
2025.07.25 13:27,-21.42
2025.07.25 13:56,-26.91
2025.07.25 15:41,-27.81
2025.07.28 16:33,-36.27
2025.07.30 16:55,-79.12
2025.07.30 18:20,-61.65
2025.07.30 21:49,-58.05
