time,profit
2026.03.02 01:00,-21.15
2026.03.02 10:00,20.20
2026.03.04 22:00,-20.37
2026.03.05 18:00,-2.22
2026.03.09 01:00,-24.08
2026.03.09 19:00,-8.48
2026.03.10 17:00,-22.77
2026.03.11 12:00,-18.00
2026.03.11 18:00,63.11
2026.03.13 18:00,-14.28
2026.03.16 14:00,0.70
2026.03.18 15:00,-17.91
2026.03.18 22:00,-24.33
2026.03.19 21:00,0.83
2026.03.20 17:00,25.23
2026.03.23 15:00,-11.31
2026.03.24 20:00,-21.77
2026.03.26 03:00,67.41
2026.03.31 17:00,-20.97
2026.03.31 23:00,-0.50
2026.04.02 05:00,-7.11
2026.04.03 16:00,-3.69
2026.04.06 11:00,-19.19
2026.04.07 05:00,-15.21
2026.04.07 23:00,-22.79
2026.04.08 02:00,25.69
2026.04.13 01:00,-21.87
2026.04.13 20:00,27.63
2026.04.17 16:00,-15.03
2026.04.20 01:00,-23.13
2026.04.21 02:00,-17.91
2026.04.21 23:00,-22.32
2026.04.23 07:00,3.90
2026.04.24 19:00,-18.02
2026.04.27 05:00,11.23
2026.04.28 10:00,-18.87
2026.04.29 06:00,-3.25
2026.04.30 14:00,23.65
2026.05.01 18:00,-15.48
2026.05.04 19:00,-4.02
2026.05.05 18:00,-20.90
2026.05.06 04:00,34.06
2026.05.07 23:00,-25.80
2026.05.08 02:00,-17.19
2026.05.11 19:00,-15.77
2026.05.12 10:00,-13.41
2026.05.13 05:00,-15.66
2026.05.13 11:00,-19.63
2026.05.14 23:00,-32.28
2026.05.15 03:00,46.20
2026.05.18 12:00,-8.30
2026.05.19 12:00,-3.48
2026.05.20 14:00,11.18
2026.05.26 05:00,-0.42
2026.05.27 06:00,-0.77
2026.05.28 08:00,-17.28
2026.05.28 18:00,35.15
2026.06.01 13:00,7.83
2026.06.03 08:00,23.39
2026.06.05 05:00,-11.25
2026.06.05 16:00,28.56
2026.06.08 15:00,-20.90
2026.06.09 09:00,-13.32
2026.06.10 17:00,-17.28
2026.06.11 00:00,-34.20
2026.06.11 01:00,-8.64
2026.06.11 21:00,-19.10
2026.06.15 02:00,-19.98
2026.06.15 22:00,-17.16
2026.06.16 01:00,-9.36
2026.06.16 19:00,-21.89
2026.06.17 15:00,-10.26
2026.06.17 22:00,-16.66
2026.06.18 22:00,-33.54
2026.06.19 07:00,62.81
2026.06.26 06:00,-16.02
2026.06.30 14:00,12.96
