time,profit
2025.08.28 03:00,-2.74
2025.08.28 19:00,-8.14
2025.08.29 16:00,-11.71
2025.08.29 18:00,-13.58
2025.09.01 19:00,-9.81
2025.09.02 11:00,-4.18
2025.09.04 08:00,-3.65
2025.09.04 18:00,-12.04
2025.09.05 09:00,-7.17
2025.09.05 21:00,-19.40
2025.09.08 15:00,-9.97
2025.09.09 19:00,-1.16
2025.09.10 21:00,2.05
2025.09.11 17:00,2.12
2025.09.15 14:00,-7.22
2025.09.15 18:00,31.01
2025.09.17 22:00,10.76
2025.09.19 18:00,-16.47
2025.09.22 20:00,-5.26
2025.09.23 22:00,-14.76
2025.09.24 10:00,21.74
2025.09.25 17:00,-6.39
2025.09.26 13:00,-9.43
2025.09.29 11:00,-11.43
2025.09.29 19:00,-12.50
2025.10.01 18:00,4.18
2025.10.03 16:00,-12.91
2025.10.07 00:01,-11.09
2025.10.08 05:00,-11.81
2025.10.08 16:00,-9.03
2025.10.09 17:00,13.20
2025.10.10 16:12,-13.04
2025.10.13 18:00,12.31
2025.10.15 10:00,-8.59
2025.10.16 05:00,-13.71
2025.10.17 14:00,-12.23
2025.10.17 22:00,-6.70
2025.10.21 09:00,-8.52
2025.10.21 19:00,-3.43
2025.10.22 15:00,-8.99
2025.10.22 18:00,-6.83
2025.10.24 06:00,-10.28
2025.10.27 03:00,-6.30
2025.10.28 17:00,19.10
2025.10.30 13:00,30.73
2025.11.03 12:00,45.82
2025.11.06 03:00,-7.59
2025.11.06 17:00,-9.44
2025.11.07 16:00,-12.14
2025.11.07 20:00,11.48
2025.11.11 09:00,-8.73
2025.11.11 16:00,-10.04
2025.11.12 18:00,-10.55
2025.11.13 11:00,-9.06
2025.11.13 20:00,-4.61
2025.11.17 22:00,-12.68
2025.11.18 16:00,3.83
2025.11.19 16:00,17.47
2025.11.20 19:00,4.89
2025.11.25 20:00,-1.43
2025.11.26 18:00,5.17
2025.11.28 02:00,-7.57
2025.11.28 13:00,-10.52
2025.11.28 15:00,22.20
2025.12.01 21:00,1.88
2025.12.02 18:00,8.54
2025.12.04 18:00,-13.09
2025.12.05 15:00,63.47
2025.12.08 18:00,-3.37
2025.12.09 17:00,-10.21
2025.12.10 17:00,-11.64
2025.12.10 19:00,8.65
2025.12.11 17:00,-1.08
2025.12.12 18:00,-11.51
2025.12.15 15:00,-10.33
2025.12.15 21:00,-13.98
2025.12.16 16:00,-7.09
2025.12.17 09:00,-9.54
2025.12.22 16:00,-6.44
2025.12.23 06:00,6.62
2025.12.24 04:00,-7.30
2025.12.26 13:00,-8.89
2025.12.26 16:00,-11.06
2025.12.29 10:00,-12.31
2025.12.30 14:00,-8.61
2026.01.02 15:00,17.28
2026.01.06 15:00,-12.43
2026.01.06 18:00,12.47
2026.01.07 19:00,20.29
2026.01.09 15:00,-8.57
2026.01.09 18:00,-6.60
2026.01.14 15:00,-9.01
2026.01.15 06:00,-3.56
2026.01.16 16:00,-3.35
2026.01.19 16:00,27.64
2026.01.21 15:00,-12.64
2026.01.22 02:00,-21.05
2026.01.22 16:00,72.08
2026.01.26 22:00,-3.92
2026.01.27 16:00,45.63
2026.01.29 06:00,-20.18
2026.01.29 17:00,-24.59
2026.01.29 23:00,-23.32
2026.01.30 19:00,44.12
2026.02.05 05:00,-18.18
2026.02.06 02:00,-22.04
2026.02.06 16:00,-7.11
2026.02.09 15:00,24.24
2026.02.10 17:00,-13.68
2026.02.11 06:00,-12.90
2026.02.11 16:00,-20.72
2026.02.12 18:00,2.46
2026.02.16 19:00,10.10
2026.02.18 20:00,0.63
2026.02.23 02:00,-16.72
2026.02.23 23:00,-6.94
2026.02.25 05:00,-11.30
2026.02.26 00:01,-2.50
2026.02.27 08:00,-10.99
2026.02.27 18:00,-6.59
