time,profit
2026.03.02 18:00,-21.27
2026.03.03 17:00,-23.39
2026.03.04 22:00,-18.63
2026.03.05 18:00,-18.33
2026.03.06 18:00,26.20
2026.03.10 15:00,-16.31
2026.03.11 15:00,69.32
2026.03.16 14:00,-8.84
2026.03.17 13:00,-10.72
2026.03.18 22:00,-4.36
2026.03.23 12:00,-18.23
2026.03.24 07:00,-14.48
2026.03.24 18:00,102.54
2026.03.31 23:00,8.24
2026.04.02 08:00,9.21
2026.04.06 11:00,-4.94
2026.04.08 02:00,-7.33
2026.04.09 17:00,-1.46
2026.04.13 01:00,-13.39
2026.04.13 18:00,32.21
2026.04.15 15:00,-10.65
2026.04.15 18:00,41.85
2026.04.20 02:00,-19.55
2026.04.20 18:00,3.53
2026.04.23 20:00,-4.46
2026.04.24 19:00,29.15
2026.04.28 10:00,-11.09
2026.04.28 13:00,9.76
2026.04.30 13:00,49.78
2026.05.04 10:00,9.93
2026.05.06 08:00,-12.30
2026.05.06 20:00,6.98
2026.05.08 16:00,-9.34
2026.05.11 14:00,-9.87
2026.05.11 17:00,-11.12
2026.05.12 11:00,-12.35
2026.05.13 22:00,15.01
2026.05.19 12:00,-8.97
2026.05.20 01:00,-14.25
2026.05.20 13:00,-8.96
2026.05.20 18:00,-11.07
2026.05.21 17:00,-11.64
2026.05.22 15:00,-5.01
2026.05.26 16:00,-8.67
2026.05.27 11:00,8.88
2026.05.28 18:00,15.96
2026.05.29 16:00,-11.35
2026.06.01 14:00,7.30
2026.06.03 16:00,21.08
2026.06.05 13:00,-11.14
2026.06.05 18:00,5.07
2026.06.09 15:00,-9.11
2026.06.10 17:00,-12.92
2026.06.11 10:00,20.53
2026.06.15 23:00,-0.76
2026.06.17 14:00,95.09
2026.06.23 10:00,25.94
2026.06.25 17:00,6.24
2026.06.29 15:00,2.36
2026.06.30 18:00,-15.01
