time,profit
2026.03.02 08:45,-2.59
2026.03.02 14:00,11.45
2026.03.02 16:45,-6.84
2026.03.03 03:45,19.34
2026.03.03 08:30,-4.08
2026.03.03 09:45,-2.17
2026.03.04 08:45,-4.42
2026.03.04 10:00,-6.43
2026.03.04 19:15,-5.61
2026.03.05 02:45,-3.97
2026.03.05 03:45,22.53
2026.03.05 10:45,11.79
2026.03.06 04:00,-3.14
2026.03.06 12:15,-6.19
2026.03.06 14:00,-1.27
2026.03.09 01:45,-3.09
2026.03.09 02:15,-3.27
2026.03.09 03:45,12.21
2026.03.10 03:45,8.08
2026.03.10 04:30,5.51
2026.03.10 08:45,-1.70
2026.03.11 02:30,-1.96
2026.03.11 03:45,-6.86
2026.03.11 06:45,3.19
2026.03.12 02:30,6.62
2026.03.12 04:00,4.80
2026.03.12 08:00,4.80
2026.03.13 03:30,-2.20
2026.03.13 08:45,-2.40
2026.03.13 14:15,-4.91
2026.03.16 12:15,-1.23
2026.03.16 12:45,-0.89
2026.03.16 13:15,-0.84
2026.03.17 03:00,-5.94
2026.06.12 16:45,1.28
2026.06.12 18:00,-4.91
2026.06.15 01:45,-1.47
2026.06.15 03:45,3.08
2026.06.15 10:15,1.84
2026.06.16 04:15,-2.45
2026.06.16 05:30,-2.06
2026.06.16 09:15,3.36
2026.06.17 03:30,-1.03
2026.06.17 04:15,3.41
2026.06.17 04:45,-1.12
2026.06.18 05:00,-1.16
2026.06.18 06:00,-2.57
2026.06.18 07:15,-1.33
2026.06.19 06:45,-2.25
2026.06.19 07:15,-2.04
2026.06.19 08:15,2.41
2026.06.22 17:15,5.11
2026.06.22 18:00,-2.74
2026.06.23 04:15,-1.62
2026.06.23 06:30,-2.42
2026.06.23 08:00,-0.50
2026.06.24 04:45,2.62
2026.06.24 06:30,-2.61
2026.06.24 08:00,3.27
2026.06.25 04:15,-1.61
2026.06.25 04:30,5.68
2026.06.25 05:15,8.01
2026.06.26 03:15,-2.88
2026.06.26 03:45,3.87
2026.06.26 04:30,4.89
2026.06.29 04:00,-1.52
2026.06.29 04:15,-1.63
2026.06.29 05:00,1.80
2026.06.30 04:45,-3.02
2026.06.30 05:15,-1.60
2026.06.30 07:45,-1.22
