time,profit
2025.08.28 02:00,-6.60
2025.08.28 04:45,-15.17
2025.08.28 06:30,-4.83
2025.08.29 04:30,7.29
2025.08.29 10:15,-3.18
2025.08.29 10:30,9.68
2025.09.01 01:15,-3.98
2025.09.01 02:15,-2.08
2025.09.01 02:45,-2.57
2025.09.02 03:00,8.74
2025.09.02 04:00,-3.48
2025.09.02 04:15,-5.68
2025.09.03 02:00,-4.12
2025.09.03 03:15,-2.91
2025.09.03 04:15,-3.99
2025.09.04 03:30,-10.71
2025.09.04 04:45,25.71
2025.09.04 11:00,6.31
2025.09.05 03:00,-6.07
2025.09.05 03:30,-3.52
2025.09.05 05:00,-3.89
2025.09.08 02:00,6.86
2025.09.08 03:15,-6.06
2025.09.08 03:30,13.90
2025.09.09 02:45,-5.93
2025.09.09 03:30,-2.02
2025.09.09 03:45,-6.97
2025.09.10 03:15,-3.36
2025.09.10 05:30,-2.99
2025.09.10 07:00,-11.86
2025.09.11 02:45,7.20
2025.09.11 04:00,-0.61
2025.09.11 04:15,-3.54
2025.09.12 03:15,-2.99
2025.09.12 04:00,-7.09
2025.09.12 08:00,-2.74
2025.09.15 01:15,17.34
2025.09.15 12:30,-1.47
2025.09.15 12:45,-5.50
2025.09.16 03:15,-2.75
2025.09.16 04:00,-4.27
2025.09.16 05:00,-6.36
2025.09.17 02:30,-2.46
2025.09.17 02:45,-3.94
2025.09.17 03:30,9.90
2025.09.18 04:30,-6.79
2025.09.18 08:30,-4.58
2025.09.19 07:30,16.71
2025.09.19 11:30,-5.05
2025.09.19 11:45,8.10
2025.09.22 01:15,15.18
2025.09.22 04:00,-6.68
2025.09.22 05:30,-2.73
2025.09.23 05:00,4.02
2025.09.23 12:15,5.00
2025.09.23 15:15,-2.68
2025.09.24 03:15,9.87
2025.09.24 04:00,-3.41
2025.09.24 07:45,2.07
2025.09.25 03:00,-4.18
2025.09.25 04:15,9.01
2025.09.25 09:15,3.02
2025.09.26 00:45,-6.55
2025.09.26 04:15,-6.92
2025.09.26 08:15,6.13
2025.09.29 03:45,-2.65
2025.09.29 05:45,-3.20
2025.09.29 06:30,2.05
2025.09.30 03:00,-7.76
2025.09.30 07:30,-8.67
2025.09.30 09:00,-4.25
2025.10.01 04:00,15.71
2025.10.01 08:15,-9.58
2025.10.01 10:00,-4.95
2025.10.02 00:45,-4.96
2025.10.02 02:00,2.51
2025.10.02 03:30,-3.73
2025.10.03 03:15,-3.85
2025.10.03 04:45,-5.61
2025.10.03 10:30,-3.60
2025.10.06 03:00,-7.21
2025.10.06 03:15,-8.29
2025.10.06 06:00,-3.66
2025.10.07 03:30,14.01
2025.10.07 07:45,17.44
2025.10.07 10:15,-5.37
2025.10.08 02:30,-8.99
2025.10.08 03:30,-2.48
2025.10.08 03:45,-7.74
2025.10.09 00:15,-12.87
2025.10.09 02:00,-2.89
2025.10.09 03:45,11.37
2025.10.10 06:15,-4.12
2025.10.10 06:30,-3.12
2025.10.10 07:15,-6.31
2025.10.13 01:30,-14.42
2025.10.13 10:45,-7.09
2025.10.13 11:45,17.29
2025.10.14 02:15,-2.60
2025.10.14 03:15,-5.25
2025.10.14 03:45,9.69
2025.10.15 01:15,11.46
2025.10.15 03:45,-2.20
2025.10.15 04:00,-4.10
2025.10.16 02:00,-10.69
2025.10.16 03:45,9.14
2025.10.16 08:00,-4.70
2025.10.17 02:15,-2.70
2025.10.17 03:30,13.94
2025.10.17 07:00,-8.35
2025.10.20 02:30,-8.41
2025.10.20 03:15,-6.74
2025.10.20 08:45,13.07
2025.10.21 02:45,1.43
2025.10.21 04:00,23.83
2025.10.21 05:15,-7.92
2025.10.22 03:45,-4.93
2025.10.22 04:15,16.41
2025.10.22 23:15,-5.08
2025.10.23 04:45,-5.61
2025.10.23 06:00,-2.83
2025.10.23 09:45,-3.19
2025.10.24 02:45,-5.89
2025.10.24 04:45,-2.77
2025.10.24 05:15,-4.65
2025.10.27 01:30,5.76
2025.10.27 06:45,-4.35
2025.10.27 07:30,3.23
2025.10.28 00:15,-8.13
2025.10.28 02:00,-4.78
2025.10.28 03:00,-6.85
2025.10.29 15:45,14.25
2025.10.29 20:30,-3.95
2025.10.29 21:45,21.60
2025.10.30 03:15,-7.26
2025.10.30 03:45,-2.72
