time,profit
2026.03.02 01:00,-6.45
2026.03.03 10:00,-6.84
2026.03.04 13:00,-15.22
2026.03.05 08:00,-23.80
2026.03.06 19:00,-23.85
2026.03.09 02:00,-20.16
2026.03.09 22:00,-0.37
2026.03.11 00:00,-24.48
2026.03.11 15:00,-23.88
2026.03.12 01:00,58.18
2026.03.16 16:00,-14.99
2026.03.17 16:00,-0.73
2026.03.18 15:00,-21.63
2026.03.18 21:00,-6.48
2026.03.19 17:00,17.39
2026.03.20 16:00,8.75
2026.03.23 14:00,6.89
2026.03.24 16:00,-20.75
2026.03.26 05:00,-12.08
2026.03.26 20:00,-23.94
2026.03.27 12:00,-13.14
2026.03.27 20:00,25.90
2026.03.31 15:00,-18.60
2026.04.01 10:00,-18.31
2026.04.02 06:00,-0.85
2026.04.03 19:00,-9.56
2026.04.06 11:00,-23.76
2026.04.07 12:00,-23.84
2026.04.07 23:00,57.24
2026.04.09 19:00,-13.99
2026.04.13 20:00,51.36
2026.04.15 14:00,-20.97
2026.04.16 06:00,-19.17
2026.04.16 13:00,6.19
2026.04.17 16:00,-22.88
2026.04.20 19:00,-13.38
2026.04.21 12:00,-18.36
2026.04.23 21:00,0.11
2026.04.24 19:00,9.16
2026.04.28 05:00,17.28
2026.04.29 17:00,-20.79
2026.04.30 14:00,-22.05
2026.04.30 18:00,2.99
2026.05.01 16:00,-22.40
2026.05.01 22:00,21.73
2026.05.05 17:00,-18.83
2026.05.06 08:00,-3.36
2026.05.07 21:00,-2.74
2026.05.08 17:00,-54.47
2026.05.11 18:00,-21.92
2026.05.12 09:00,22.12
2026.05.13 16:00,-20.93
2026.05.14 15:00,103.57
2026.05.18 03:00,-22.75
2026.05.18 12:00,-22.16
2026.05.18 16:00,2.15
2026.05.20 18:00,-4.60
2026.05.21 16:00,-21.14
2026.05.25 02:00,-1.06
2026.05.26 09:00,-12.24
2026.05.26 17:00,51.23
2026.05.29 18:00,-21.84
2026.06.01 17:00,-23.04
2026.06.02 10:00,-14.22
2026.06.03 03:00,-17.73
2026.06.03 09:00,10.48
2026.06.04 14:00,-14.49
2026.06.05 13:00,-15.03
2026.06.05 16:00,31.74
2026.06.09 12:00,-9.54
2026.06.10 17:00,-20.51
2026.06.11 02:00,-22.89
2026.06.11 18:00,-22.00
2026.06.11 23:00,2.38
2026.06.15 23:00,-9.74
2026.06.16 19:00,-21.78
2026.06.17 15:00,176.06
2026.06.22 16:00,-21.91
2026.06.23 11:00,26.66
2026.06.25 12:00,-17.37
2026.06.25 18:00,-12.54
2026.06.29 15:00,4.12
2026.06.30 18:00,-9.03
