total trades: 951
date range: 2025.08.28 -> 2026.08.27

month      trades      net      cum_net
2025.08        6      -64.41       -64.41
2025.09       78       26.53       -37.88
2025.10       69      -10.00       -47.88
2025.11       65      427.06       379.18
2025.12       69     -291.34        87.84
2026.01       79     1562.37      1650.21
2026.02       64     1447.23      3097.44
2026.03       79     1764.60      4862.04
2026.04       90      366.82      5228.86
2026.05       83      357.69      5586.55
2026.06       90      305.80      5892.35
2026.07      100      252.05      6144.40
2026.08       79     -336.67      5807.73
