deal,profit
3,-64.71
5,-57.78
7,-66.87
9,338.69
11,-0.72
13,0.00
15,-49.32
17,-71.46
19,241.65
21,333.22
23,-84.60
25,-89.91
27,180.27
29,-67.41
31,-101.34
33,210.33
35,-72.09
37,-77.40
39,-72.63
41,-0.54
43,148.77
45,141.25
47,-44.91
49,-0.45
51,-68.22
53,-74.25
55,-57.24
57,-0.54
59,-40.86
61,-37.98
63,-1.13
65,-47.88
67,-59.58
69,-48.42
71,-0.81
73,179.19
75,-2.43
77,-38.25
79,-44.64
81,-33.66
83,-36.72
85,115.38
87,86.76
89,-46.35
91,-54.09
93,-48.51
95,-34.20
97,0.00
99,-36.36
101,-72.63
103,-40.86
105,-53.46
107,-52.92
109,-0.54
111,-67.50
113,-51.21
115,-28.98
117,-8.60
119,-87.93
121,-5.99
123,-38.97
125,-1.53
127,52.15
129,-0.41
131,-34.56
133,-33.48
135,111.37
137,-26.19
139,-36.27
141,-55.26
143,-40.32
145,131.22
147,-26.82
149,-23.40
151,-36.45
153,-101.07
155,-0.09
157,329.31
159,115.38
161,-42.93
163,-58.41
165,-52.65
167,-1.08
169,-74.61
171,-28.31
173,157.68
175,-71.82
177,-0.81
179,-82.71
181,-3.58
183,-44.37
185,-48.33
187,-52.11
189,-0.09
191,-49.59
193,184.95
195,150.66
197,250.15
199,164.16
201,-84.96
203,-141.21
205,-32.94
207,303.57
209,334.57
211,319.50
213,-63.00
215,-85.14
217,-62.62
219,-1.13
221,196.02
223,-95.13
225,-79.56
227,397.93
229,-95.31
231,-155.77
233,503.28
235,419.71
237,-234.81
239,661.09
241,-104.22
243,436.25
245,378.63
247,0.00
249,-110.52
251,440.46
253,503.91
255,472.99
257,515.25
259,-0.77
261,-150.66
263,415.71
265,-99.63
267,304.87
269,226.26
271,266.13
273,-111.24
275,-125.46
277,292.63
279,-110.61
281,-124.38
283,-0.45
285,391.86
287,-128.25
289,-16.34
291,-0.27
293,-1.44
295,306.00
297,-167.13
299,-144.72
301,-126.00
303,-1.08
305,-125.28
307,-21.36
309,313.74
