deal,profit
3,-429.21
5,-0.63
7,370.89
9,312.93
11,-646.38
13,-300.69
15,-840.42
17,-288.45
19,592.74
21,-366.03
23,-176.94
25,360.27
27,-1.98
29,-243.00
31,-243.99
33,-252.36
35,-0.54
37,-126.14
39,-140.94
41,-131.85
43,203.85
45,-107.46
47,593.23
49,272.70
51,-137.34
53,-68.85
55,-181.98
57,-0.63
59,-51.35
61,205.02
63,-48.15
65,-0.36
67,-122.47
69,-180.90
71,572.98
73,-118.17
75,-0.59
77,503.93
79,-2.70
81,-1.44
83,-110.25
85,-129.69
87,521.05
89,-0.36
91,-189.86
93,-67.86
95,-0.45
97,-280.94
99,-101.88
101,342.99
103,-170.64
105,-73.44
107,-135.45
109,-1.35
111,-79.65
113,-102.87
115,209.97
117,-125.82
119,-125.91
121,-59.04
123,-1.35
125,-148.30
127,-2.25
129,-201.15
131,401.94
133,632.25
135,-214.20
137,-1.71
139,297.81
141,-2.16
143,-123.30
145,-170.24
147,-127.26
149,284.71
151,362.97
153,-1.44
155,417.82
157,-90.36
159,-254.66
161,-110.97
163,-171.27
165,0.00
167,-1.80
169,362.16
171,-127.98
173,322.29
175,-91.80
177,-122.58
179,-68.04
181,-134.73
183,-66.15
185,156.73
187,-91.44
189,-147.60
191,-144.63
193,-0.54
195,-0.36
197,-85.41
199,-66.78
201,-91.35
203,-43.92
205,-1.71
207,-131.90
209,-122.13
211,-3.24
213,-122.04
215,-119.70
217,-117.45
219,-89.82
221,-183.11
223,-89.64
225,271.35
227,246.15
229,-0.09
231,-140.76
233,-245.66
235,-134.01
237,-0.54
239,-203.04
241,-480.31
243,-0.27
245,-77.49
247,-143.78
249,-68.76
251,-94.59
253,-4.12
255,-88.11
257,-82.53
259,-102.51
261,381.69
263,-1.62
265,-1.67
267,-225.54
269,-140.67
