hour,dir,profit,reason,dur_min
4,SELL,-53.46,SL,84
5,BUY,-0.54,SL,238
9,BUY,-67.50,SL,45
1,BUY,-28.98,SL,189
14,BUY,-8.60,SL,1845
16,SELL,-87.93,SL,30
15,BUY,-38.97,SL,8
13,SELL,-1.53,SL,120
22,SELL,52.15,TP,155
11,SELL,-0.41,SL,1569
5,SELL,-34.56,SL,65
11,SELL,-33.48,SL,29
20,SELL,111.37,TP,795
3,BUY,-26.19,SL,4
6,BUY,-36.27,SL,356
8,BUY,-55.26,SL,89
9,BUY,-40.32,SL,25
6,BUY,131.22,TP,497
3,BUY,-26.82,SL,7
9,BUY,-23.40,SL,28
3,BUY,-36.45,SL,5
11,BUY,-101.07,SL,121
13,BUY,-0.09,SL,93
16,BUY,329.31,TP,168
3,BUY,115.38,TP,24
4,BUY,-52.65,SL,19
4,BUY,-74.61,SL,10
3,BUY,157.68,TP,129
2,BUY,-82.71,SL,51
10,BUY,-44.37,SL,55
13,BUY,-48.33,SL,126
3,BUY,-0.09,SL,55
5,BUY,-49.59,SL,24
6,BUY,150.66,TP,199
7,BUY,164.16,TP,273
2,BUY,-32.94,SL,13
3,BUY,303.57,TP,274
2,BUY,121.50,TP,144
15,BUY,-63.00,SL,27
22,BUY,-1.13,SL,384
1,BUY,196.02,TP,48
5,BUY,-79.56,SL,252
4,BUY,288.36,TP,203
3,BUY,503.28,TP,810
11,BUY,-234.81,SL,257
8,BUY,-11.97,SL,245
13,BUY,-104.22,SL,121
10,BUY,479.34,TP,543
5,BUY,0.00,SL,275
1,BUY,-110.52,SL,190
1,SELL,440.46,TP,107
20,SELL,472.99,TP,3195
2,SELL,-150.66,SL,35
21,SELL,304.87,TP,3195
14,SELL,226.26,TP,95
2,SELL,-111.24,SL,19
17,BUY,292.63,TP,474
2,BUY,-0.45,SL,42
4,BUY,391.86,TP,374
20,SELL,-16.34,SL,3172
2,SELL,-0.27,SL,451
1,SELL,-1.44,SL,529
10,BUY,306.00,TP,385
12,SELL,-167.13,SL,135
3,BUY,-144.72,SL,413
10,BUY,-1.08,SL,281
15,BUY,-125.28,SL,19
1,BUY,-47.79,SL,110
13,BUY,313.74,TP,205
8,BUY,-3.78,SL,500
22,BUY,-47.52,SL,35
2,BUY,-75.51,SL,92
11,BUY,247.86,TP,347
2,BUY,-84.24,SL,870
9,BUY,-65.34,SL,86
11,BUY,-67.23,SL,128
4,BUY,-80.37,SL,139
15,BUY,-155.43,SL,125
20,BUY,-3.02,SL,804
20,BUY,-157.82,SL,406
15,BUY,-0.72,SL,133
17,BUY,471.01,TP,559
6,BUY,-99.99,SL,25
20,BUY,-149.45,SL,3213
2,SELL,-103.68,SL,64
10,SELL,-0.36,SL,70
12,SELL,-122.85,SL,190
16,BUY,457.69,TP,1458
4,BUY,382.59,TP,811
16,BUY,-196.07,SL,507
1,BUY,329.58,TP,346
10,BUY,-81.54,SL,206
18,BUY,469.39,TP,544
14,BUY,474.03,TP,256
8,BUY,-0.45,SL,61
13,BUY,-121.86,SL,75
14,BUY,-126.18,SL,81
15,SELL,1194.75,TP,293
2,SELL,1392.15,TP,304
8,BUY,-206.10,SL,167
11,SELL,603.09,TP,190
11,SELL,-282.06,SL,20
4,BUY,-3.38,SL,1242
4,BUY,-202.68,SL,63
18,BUY,-363.67,SL,1405
3,SELL,-199.98,SL,1
10,SELL,-129.06,SL,68
21,BUY,-101.43,SL,12
22,BUY,-100.33,SL,136
15,BUY,-238.05,SL,49
17,BUY,1016.86,TP,3359
8,BUY,-179.46,SL,35
10,BUY,-96.12,SL,32
11,BUY,-95.94,SL,31
2,BUY,-296.91,SL,840
19,BUY,1155.19,TP,3195
12,BUY,-183.69,SL,60
21,SELL,-372.02,SL,346
6,BUY,-3.69,SL,382
13,BUY,-183.15,SL,50
4,BUY,-82.89,SL,165
6,SELL,374.31,TP,232
3,SELL,-429.21,SL,301
20,SELL,370.89,TP,45
6,SELL,312.93,TP,149
1,SELL,-300.69,SL,124
11,SELL,-560.28,SL,80
14,SELL,-288.45,SL,105
0,SELL,-366.03,SL,240
8,BUY,360.27,TP,78
1,BUY,-243.99,SL,154
7,BUY,-0.54,SL,235
22,BUY,-126.14,SL,167
9,BUY,203.85,TP,21
14,BUY,-107.46,SL,66
16,BUY,593.23,TP,527
22,BUY,-68.85,SL,13
