variant_id,trial_note,verdict,equivalent_to,trades_total,n_is,n_oos,oos_pf,oos_exp,oos_net,oos_win_rate,oos_max_dd_pct,oos_mc_dd_p95,oos_mc_p_losing,oos_mc_net_p5,is_pf,is_exp,smt_available,smt_note
disp_0p4,MSS displacement gate = 0.4 (looser),INSUFFICIENT,,189,101,88,1.3701,23.5513,2072.5100,36.3636,23.6510,,,,1.4313,25.9736,no,SMT off (default); no partner series required.
session_all,session scope = ny_london_asia (24h eligible),INSUFFICIENT,,368,191,177,1.3652,23.0971,4088.1900,35.0282,28.5125,,,,1.1894,11.9850,no,SMT off (default); no partner series required.
idm_body,IDM clear precision = body,INSUFFICIENT,,132,73,59,1.2982,18.6976,1103.1600,37.2881,17.7382,,,,1.4716,29.4088,no,SMT off (default); no partner series required.
tp_fixed_rr,TP mode = fixed_rr (2R target),INSUFFICIENT,,175,98,77,1.3262,16.7329,1288.4300,45.4545,13.3333,,,,1.3022,17.1240,no,SMT off (default); no partner series required.
tp_partial,TP mode = partial_be_trail (proxy; EQUIVALENT to tp_fixed_rr — not a distinct trial),INSUFFICIENT,tp_fixed_rr,175,98,77,1.3262,16.7329,1288.4300,45.4545,13.3333,,,,1.3022,17.1240,no,SMT off (default); no partner series required.
ob_lb_3,POI qm_ob + ob_lookback=3 (tighter displacement-leg OB bound),INSUFFICIENT,,152,77,75,1.2364,15.4472,1158.5400,34.6667,28.3936,,,,0.9981,-0.1326,no,SMT off (default); no partner series required.
sl_buf_0p25,SL buffer = 0.25*ATR (tighter),INSUFFICIENT,,157,83,74,1.1994,14.0142,1037.0500,29.7297,19.6960,,,,1.3510,22.6487,no,SMT off (default); no partner series required.
erl_h4,ERL source TF = H4,INSUFFICIENT,,157,86,71,1.2076,13.2576,941.2900,35.2113,17.7382,,,,1.6080,36.4266,no,SMT off (default); no partner series required.
poi_qm_ob,POI type = qm_ob (order-block confluence),INSUFFICIENT,,162,88,74,1.1517,10.0438,743.2400,33.7838,18.6477,,,,1.2620,17.1293,no,SMT off (default); no partner series required.
minrr_1p5,min projected-RR gate = 1.5,INSUFFICIENT,,145,83,62,1.1287,9.1361,566.4400,29.0323,19.7091,,,,1.6185,36.9054,no,SMT off (default); no partner series required.
erl_lb_8,ERL lookback = 8 swings (wider external range),INSUFFICIENT,,159,86,73,1.1347,8.8570,646.5600,34.2466,19.7091,,,,1.6149,37.5523,no,SMT off (default); no partner series required.
sl_tight_poi,SL mode = tight_poi (stop at POI edge),INSUFFICIENT,,160,88,72,1.1021,8.2250,592.2000,19.4444,21.1092,,,,1.3103,23.2691,no,SMT off (default); no partner series required.
baseline,documented default config (no switch changed),INSUFFICIENT,,158,86,72,1.1121,7.4728,538.0400,33.3333,19.7091,,,,1.5261,32.1297,no,SMT off (default); no partner series required.
reentry_on,reentry = True (permit one extra same-day entry per stop-out),INSUFFICIENT,,161,89,72,1.1121,7.4728,538.0400,33.3333,19.7091,,,,1.5054,30.9598,no,SMT off (default); no partner series required.
max_trades_4,max trades/day = 4 (looser cap),INSUFFICIENT,,212,115,97,1.0894,6.0824,589.9900,31.9588,33.5055,,,,1.3495,21.8189,no,SMT off (default); no partner series required.
rr_3,fixed_rr target = 3R,INSUFFICIENT,,175,98,77,1.0996,5.8838,453.0500,37.6623,17.9022,,,,1.6775,38.3848,no,SMT off (default); no partner series required.
erl_lb_3,ERL lookback = 3 swings (tighter external range),INSUFFICIENT,,152,83,69,1.0727,4.8459,334.3700,33.3333,19.7091,,,,1.6344,38.6171,no,SMT off (default); no partner series required.
disp_0p8,MSS displacement gate = 0.8 (stricter),INSUFFICIENT,,125,71,54,1.0409,2.7996,151.1800,31.4815,21.5050,,,,1.3663,22.4556,no,SMT off (default); no partner series required.
sl_buf_1p0,SL buffer = 1.0*ATR (wider),INSUFFICIENT,,159,86,73,0.9861,-0.8974,-65.5100,35.6164,21.7055,,,,1.2329,13.8071,no,SMT off (default); no partner series required.
erl_m15,ERL source TF = M15,INSUFFICIENT,,118,67,51,0.9027,-6.2933,-320.9600,35.2941,22.4685,,,,1.2904,17.1293,no,SMT off (default); no partner series required.
poi_qm_fvg,POI type = qm_fvg (FVG confluence),INSUFFICIENT,,134,85,49,0.8903,-7.5898,-371.9000,24.4898,30.7956,,,,0.6365,-25.2324,no,SMT off (default); no partner series required.
smt_xag,SMT pair = xag (needs XAGUSD series),INSUFFICIENT,,24,15,9,0.8545,-8.0833,-72.7500,44.4444,5.8015,,,,1.3703,22.2160,yes,SMT 'xag' active with 2907 signals.
smt_dxy,SMT pair = dxy (needs DXY series),INSUFFICIENT,,47,33,14,0.8587,-10.0893,-141.2500,28.5714,8.5786,,,,0.9897,-0.6573,yes,SMT 'dxy' active with 8642 signals.
idm_optional,IDM clear optional (experimental),INSUFFICIENT,,309,167,142,0.8117,-13.3933,-1901.8500,28.8732,48.5496,,,,1.0839,5.6850,no,SMT off (default); no partner series required.
pivot_3,swing pivot L/R = 3 (stricter swings),INSUFFICIENT,,143,79,64,0.2768,-60.8678,-3895.5400,14.0625,78.5441,,,,0.8967,-7.1192,no,SMT off (default); no partner series required.
